feature,mean_abs_shap
channel_switch_rate_max,0.0003571274601104216
channel_switch_rate_mean,0.00023775414122348558
hour_of_day_mean,0.00022414859381181528
merchant_id_std,0.00020297020844836628
amount_mean,0.0002017150476943864
merchant_id_mean,0.00020168469890440482
hour_of_day_std,0.0002007314164677024
daily_txn_count_std,0.0001947189983135422
geo_dist_home_km_mean,0.00019108983594974557
channel_id_std,0.00017559405973335777
time_diff_hours_mean,0.00017169918233543902
device_switch_rate_std,0.00016976828508976927
device_switch_rate_mean,0.00016618761897479615
time_diff_hours_std,0.00016095445807662965
channel_id_mean,0.00016054077733149307
amount_z_mean,0.000157253595846613
geo_dist_home_km_std,0.0001535171399168344
daily_txn_count_mean,0.0001497924019236457
channel_switch_rate_std,0.00014897601806715735
amount_std,0.0001426445619889363
device_int_std,0.00013380211404885847
amount_z_std,0.00012262791208290163
device_switch_rate_max,0.00012248456084778067
geo_dist_home_km_max,0.000112549199149571
is_night_mean,0.00010850886410676977
device_switch_mean,0.00010608419736358924
device_int_mean,0.00010575408750589743
time_diff_hours_max,9.962358151907453e-05
device_switch_std,9.59662482607107e-05
is_weekend_mean,8.798731696811965e-05
channel_switch_mean,8.14043764707572e-05
channel_switch_std,5.514208092405607e-05
is_night_std,5.505834969854498e-05
amount_z_max,5.2821301744067884e-05
amount_max,5.242309148722016e-05
user_txn_index_mean,5.1343316445577e-05
user_txn_index_max,5.0964701053999997e-05
is_weekend_std,4.747702404579975e-05
hour_of_day_max,3.1542376620928106e-05
daily_txn_count_max,2.099086205631425e-05
user_txn_index_std,1.7542126800382794e-05
is_large_amount_mean,1.6782413207943132e-05
is_large_amount_std,1.6047800622679577e-05
channel_id_max,1.1109892735081853e-05
device_int_max,6.879097266651821e-06
merchant_id_max,3.126922342859291e-06
is_large_amount_max,8.408350451797365e-07
channel_switch_max,0.0
device_switch_max,0.0
is_night_max,0.0
is_weekend_max,0.0
